Interval=	0,01 s
ExcelDateTime=	4,2528612356187317e+004	07.06.2016 14:41:47,574584
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2
Range=	20,000 mV
5,67	-0,743
5,68	-0,660
5,69	-0,481
5,7	-0,270
5,71	-0,054
5,72	0,196
5,73	0,517
5,74	0,888
5,75	1,203
5,76	1,381
5,77	1,424
5,78	1,363
5,79	1,222
5,8	1,021
5,81	0,773
5,82	0,512
5,83	0,238
5,84	-0,067
5,85	-0,329
5,86	-0,481
5,87	-0,591
5,88	-0,729
5,89	-0,852
5,9	-0,922
5,91	-0,961
5,92	-0,989
5,93	-1,036
5,94	-1,103
5,95	-1,156
5,96	-1,167
5,97	-1,118
5,98	-1,040
5,99	-0,983
6	-0,939
6,01	-0,864
6,02	-0,719
6,03	-0,506
6,04	-0,300
6,05	-0,164
6,06	-0,107
6,07	-0,116
6,08	-0,145
6,09	-0,129
6,1	-0,066
6,11	-0,053
6,12	-0,151
6,13	-0,295
6,14	-0,403
6,15	-0,487
6,16	-0,575
6,17	-0,635
6,18	-0,657
6,19	-0,698
6,2	-0,779
6,21	-0,848
6,22	-0,869
6,23	-0,859
6,24	-0,849
6,25	-0,868
6,26	-0,908
6,27	-0,933
6,28	-0,916
6,29	-0,843
6,3	-0,749
6,31	-0,715
6,32	-0,755
6,33	-0,810
6,34	-0,821
6,35	-0,761
6,36	-0,669
6,37	-0,637
6,38	-0,691
6,39	-0,737
6,4	-0,694
6,41	-0,584
6,42	-0,514
6,43	-0,573
6,44	-0,685
6,45	-0,691
6,46	-0,509
6,47	-0,159
6,48	0,260
6,49	0,625
6,5	0,893
6,51	1,126
6,52	1,347
6,53	1,471
6,54	1,416
6,55	1,224
6,56	0,982
6,57	0,729
6,58	0,465
6,59	0,193
6,6	-0,061
6,61	-0,302
6,62	-0,539
6,63	-0,714
6,64	-0,802
6,65	-0,873
6,66	-0,952
6,67	-0,984
6,68	-0,989
6,69	-1,041
6,7	-1,105
6,71	-1,098
6,72	-1,065
6,73	-1,079
6,74	-1,079
6,75	-0,988
6,76	-0,846
6,77	-0,726
6,78	-0,638
6,79	-0,549
6,8	-0,416
6,81	-0,238
6,82	-0,083
6,83	-0,022
6,84	-0,061
6,85	-0,138
6,86	-0,190
6,87	-0,228
6,88	-0,279
6,89	-0,333
6,9	-0,388
6,91	-0,484
6,92	-0,611
6,93	-0,694
6,94	-0,708
6,95	-0,716
6,96	-0,777
6,97	-0,859
6,98	-0,901
6,99	-0,919
7	-0,932
7,01	-0,907
7,02	-0,861
7,03	-0,848
7,04	-0,873
7,05	-0,867
7,06	-0,806
7,07	-0,774
7,08	-0,800
7,09	-0,805
7,1	-0,749
7,11	-0,691
7,12	-0,688
7,13	-0,695
7,14	-0,691
7,15	-0,698
7,16	-0,682
7,17	-0,621
7,18	-0,586
7,19	-0,621
7,2	-0,726
7,21	-0,738
7,22	-0,493
7,23	-0,196
7,24	-0,006
7,25	0,215
7,26	0,519
7,27	0,810
7,28	1,063
7,29	1,284
7,3	1,403
7,31	1,329
7,32	1,108
7,33	0,874
7,34	0,647
7,35	0,374
7,36	0,052
7,37	-0,264
7,38	-0,516
7,39	-0,683
7,4	-0,784
7,41	-0,838
7,42	-0,873
7,43	-0,939
7,44	-1,053
7,45	-1,141
7,46	-1,156
7,47	-1,140
7,48	-1,131
7,49	-1,116
7,5	-1,072
7,51	-0,986
7,52	-0,862
7,53	-0,739
7,54	-0,640
7,55	-0,544
7,56	-0,461
7,57	-0,379
7,58	-0,261
7,59	-0,133
7,6	-0,027
7,61	0,029
7,62	-0,034
7,63	-0,208
7,64	-0,364
7,65	-0,403
7,66	-0,387
7,67	-0,434
7,68	-0,547
7,69	-0,647
7,7	-0,693
7,71	-0,718
7,72	-0,777
7,73	-0,901
7,74	-1,018
7,75	-0,999
7,76	-0,867
7,77	-0,770
7,78	-0,762
7,79	-0,787
7,8	-0,798
7,81	-0,811
7,82	-0,847
7,83	-0,849
7,84	-0,796
7,85	-0,792
7,86	-0,856
7,87	-0,824
7,88	-0,653
7,89	-0,557
7,9	-0,669
7,91	-0,805
7,92	-0,765
7,93	-0,639
7,94	-0,583
7,95	-0,524
7,96	-0,392
7,97	-0,248
7,98	-0,010
7,99	0,354
8	0,641
8,01	0,777
8,02	0,896
8,03	1,073
8,04	1,214
8,05	1,186
8,06	0,966
8,07	0,639
8,08	0,311
8,09	0,043
8,1	-0,176
8,11	-0,371
8,12	-0,527
8,13	-0,651
8,14	-0,770
8,15	-0,902
8,16	-1,042
8,17	-1,134
8,18	-1,156
8,19	-1,156
8,2	-1,158
8,21	-1,198
8,22	-1,273
8,23	-1,259
8,24	-1,094
8,25	-0,893
8,26	-0,781
8,27	-0,753
8,28	-0,737
8,29	-0,647
8,3	-0,461
8,31	-0,266
8,32	-0,153
8,33	-0,142
8,34	-0,193
8,35	-0,236
8,36	-0,224
8,37	-0,219
8,38	-0,298
8,39	-0,416
8,4	-0,539
8,41	-0,655
8,42	-0,723
8,43	-0,749
8,44	-0,763
8,45	-0,792
8,46	-0,864
8,47	-0,939
8,48	-0,933
8,49	-0,873
8,5	-0,861
8,51	-0,889
8,52	-0,887
