Interval=	0,01 s
ExcelDateTime=	4,1795674607928238e+004	05.06.2014 16:11:26,125
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
5,31	-1,014
5,32	-0,963
5,33	-0,873
5,34	-0,754
5,35	-0,615
5,36	-0,461
5,37	-0,299
5,38	-0,121
5,39	0,076
5,4	0,283
5,41	0,491
5,42	0,691
5,43	0,881
5,44	1,068
5,45	1,245
5,46	1,410
5,47	1,573
5,48	1,743
5,49	1,913
5,5	2,073
5,51	2,221
5,52	2,363
5,53	2,499
5,54	2,635
5,55	2,771
5,56	2,901
5,57	3,021
5,58	3,136
5,59	3,250
5,6	3,357
5,61	3,455
5,62	3,551
5,63	3,643
5,64	3,733
5,65	3,824
5,66	3,919
5,67	4,017
5,68	4,111
5,69	4,199
5,7	4,285
5,71	4,370
5,72	4,452
5,73	4,531
5,74	4,609
5,75	4,683
5,76	4,754
5,77	4,824
5,78	4,888
5,79	4,946
5,8	4,999
5,81	5,046
5,82	5,089
5,83	5,129
5,84	5,168
5,85	5,205
5,86	5,240
5,87	5,274
5,88	5,304
5,89	5,330
5,9	5,348
5,91	5,358
5,92	5,358
5,93	5,348
5,94	5,331
5,95	5,309
5,96	5,285
5,97	5,256
5,98	5,226
5,99	5,193
6,0	5,160
6,01	5,126
6,02	5,090
6,03	5,053
6,04	5,019
6,05	4,981
6,06	4,929
6,07	4,872
6,08	4,815
6,09	4,743
6,1	4,640
6,11	4,492
6,12	4,299
6,13	4,073
6,14	3,838
6,15	3,610
6,16	3,391
6,17	3,183
6,18	2,986
6,19	2,803
6,2	2,631
6,21	2,474
6,22	2,333
6,23	2,201
6,24	2,075
6,25	1,949
6,26	1,824
6,27	1,698
6,28	1,572
6,29	1,443
6,3	1,312
6,31	1,183
6,32	1,054
6,33	0,927
6,34	0,809
6,35	0,696
6,36	0,583
6,37	0,471
6,38	0,362
6,39	0,254
6,4	0,148
6,41	0,045
6,42	-0,055
6,43	-0,151
6,44	-0,244
6,45	-0,334
6,46	-0,424
6,47	-0,511
6,48	-0,596
6,49	-0,681
6,5	-0,766
6,51	-0,848
6,52	-0,922
6,53	-0,994
6,54	-1,065
6,55	-1,136
6,56	-1,206
6,57	-1,276
6,58	-1,346
6,59	-1,414
6,6	-1,480
6,61	-1,548
6,62	-1,617
6,63	-1,685
6,64	-1,749
6,65	-1,811
6,66	-1,867
6,67	-1,918
6,68	-1,967
6,69	-2,013
6,7	-2,056
6,71	-2,098
6,72	-2,136
6,73	-2,169
6,74	-2,198
6,75	-2,225
6,76	-2,248
6,77	-2,270
6,78	-2,292
6,79	-2,312
6,8	-2,326
6,81	-2,331
6,82	-2,327
6,83	-2,319
6,84	-2,306
6,85	-2,289
6,86	-2,276
6,87	-2,259
6,88	-2,234
6,89	-2,215
6,9	-2,198
6,91	-2,171
6,92	-2,128
6,93	-2,065
6,94	-1,978
6,95	-1,860
6,96	-1,705
6,97	-1,518
6,98	-1,317
6,99	-1,121
7,0	-0,939
7,01	-0,762
7,02	-0,578
7,03	-0,384
7,04	-0,177
7,05	0,034
