Interval=	0,01 s
ExcelDateTime=	4,1795673598807873e+004	05.06.2014 16:09:58,937
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
6,55	6,603
6,56	6,648
6,57	6,690
6,58	6,732
6,59	6,774
6,6	6,817
6,61	6,863
6,62	6,909
6,63	6,953
6,64	6,996
6,65	7,039
6,66	7,082
6,67	7,121
6,68	7,157
6,69	7,192
6,7	7,223
6,71	7,250
6,72	7,278
6,73	7,309
6,74	7,341
6,75	7,372
6,76	7,402
6,77	7,431
6,78	7,459
6,79	7,485
6,8	7,510
6,81	7,536
6,82	7,563
6,83	7,584
6,84	7,598
6,85	7,606
6,86	7,611
6,87	7,612
6,88	7,612
6,89	7,610
6,9	7,608
6,91	7,602
6,92	7,594
6,93	7,582
6,94	7,560
6,95	7,540
6,96	7,527
6,97	7,509
6,98	7,486
6,99	7,460
7,0	7,432
7,01	7,401
7,02	7,367
7,03	7,334
7,04	7,300
7,05	7,264
7,06	7,226
7,07	7,186
7,08	7,147
7,09	7,109
7,1	7,071
7,11	7,034
7,12	6,995
7,13	6,956
7,14	6,916
7,15	6,876
7,16	6,836
7,17	6,798
7,18	6,759
7,19	6,720
7,2	6,683
7,21	6,648
7,22	6,607
7,23	6,569
7,24	6,534
7,25	6,495
7,26	6,454
7,27	6,417
7,28	6,376
7,29	6,331
7,3	6,277
7,31	6,219
7,32	6,162
7,33	6,106
7,34	6,048
7,35	5,989
7,36	5,930
7,37	5,869
7,38	5,806
7,39	5,737
7,4	5,665
7,41	5,586
7,42	5,504
7,43	5,417
7,44	5,324
7,45	5,227
7,46	5,127
7,47	5,024
7,48	4,921
7,49	4,817
7,5	4,715
7,51	4,612
7,52	4,511
7,53	4,414
7,54	4,320
7,55	4,223
7,56	4,125
7,57	4,026
7,58	3,924
7,59	3,814
7,6	3,696
7,61	3,567
7,62	3,426
7,63	3,277
7,64	3,124
7,65	2,973
7,66	2,824
7,67	2,685
7,68	2,553
7,69	2,424
7,7	2,297
7,71	2,174
7,72	2,063
7,73	1,963
7,74	1,861
7,75	1,759
7,76	1,656
7,77	1,549
7,78	1,438
7,79	1,327
7,8	1,215
7,81	1,103
7,82	0,991
7,83	0,881
7,84	0,775
7,85	0,672
7,86	0,568
7,87	0,459
7,88	0,346
7,89	0,229
7,9	0,106
7,91	-0,019
7,92	-0,146
7,93	-0,275
7,94	-0,403
7,95	-0,527
7,96	-0,645
7,97	-0,756
7,98	-0,861
7,99	-0,958
8,0	-1,048
8,01	-1,133
8,02	-1,210
8,03	-1,281
8,04	-1,356
8,05	-1,433
8,06	-1,508
8,07	-1,579
8,08	-1,646
8,09	-1,709
8,1	-1,768
8,11	-1,823
8,12	-1,877
8,13	-1,930
8,14	-1,979
8,15	-2,025
8,16	-2,069
8,17	-2,112
8,18	-2,155
8,19	-2,197
8,2	-2,237
8,21	-2,277
8,22	-2,319
8,23	-2,360
